Index	Video	Part	Numparts	Pixel2PR	Blur width
1	2018_05_31_11_54_11.mj2	1	39	18	18
2	2018_05_31_11_54_11.mj2	2	39	18	18
3	2018_05_31_11_54_11.mj2	3	39	18	18
4	2018_05_31_11_54_11.mj2	4	39	18	18
5	2018_05_31_11_54_11.mj2	5	39	18	18
6	2018_05_31_11_54_11.mj2	6	39	18	18
7	2018_05_31_11_54_11.mj2	7	39	18	18
8	2018_05_31_11_54_11.mj2	8	39	18	18
9	2018_05_31_11_54_11.mj2	9	39	18	18
10	2018_05_31_11_54_11.mj2	10	39	18	18
11	2018_05_31_11_54_11.mj2	11	39	18	18
12	2018_05_31_11_54_11.mj2	12	39	18	18
13	2018_05_31_11_54_11.mj2	13	39	18	18
14	2018_05_31_11_54_11.mj2	14	39	18	18
15	2018_05_31_11_54_11.mj2	15	39	18	18
16	2018_05_31_11_54_11.mj2	16	39	18	18
17	2018_05_31_11_54_11.mj2	17	39	18	18
18	2018_05_31_11_54_11.mj2	18	39	18	18
19	2018_05_31_11_54_11.mj2	19	39	18	18
20	2018_05_31_11_54_11.mj2	20	39	18	18
21	2018_05_31_11_54_11.mj2	21	39	18	18
22	2018_05_31_11_54_11.mj2	22	39	18	18
23	2018_05_31_11_54_11.mj2	23	39	18	18
24	2018_05_31_11_54_11.mj2	24	39	18	18
25	2018_05_31_11_54_11.mj2	25	39	18	18
26	2018_05_31_11_54_11.mj2	26	39	18	18
27	2018_05_31_11_54_11.mj2	27	39	18	18
28	2018_05_31_11_54_11.mj2	28	39	18	18
29	2018_05_31_11_54_11.mj2	29	39	18	18
30	2018_05_31_11_54_11.mj2	30	39	18	18
31	2018_05_31_11_54_11.mj2	31	39	18	18
32	2018_05_31_11_54_11.mj2	32	39	18	18
33	2018_05_31_11_54_11.mj2	33	39	18	18
34	2018_05_31_11_54_11.mj2	34	39	18	18
35	2018_05_31_11_54_11.mj2	35	39	18	18
36	2018_05_31_11_54_11.mj2	36	39	18	18
37	2018_05_31_11_54_11.mj2	37	39	18	18
38	2018_05_31_11_54_11.mj2	38	39	18	18
39	2018_05_31_11_54_11.mj2	39	39	18	18
40	2018_05_31_11_54_11.mj2	1	39	18	36
41	2018_05_31_11_54_11.mj2	2	39	18	36
42	2018_05_31_11_54_11.mj2	3	39	18	36
43	2018_05_31_11_54_11.mj2	4	39	18	36
44	2018_05_31_11_54_11.mj2	5	39	18	36
45	2018_05_31_11_54_11.mj2	6	39	18	36
46	2018_05_31_11_54_11.mj2	7	39	18	36
