Index	Name	Part	Number of parts	Pixel2PR	sigma_hw
1	2018_05_31_11_54_11.mj2	1	39	18	0.8
2	2018_05_31_11_54_11.mj2	2	39	18	0.8
3	2018_05_31_11_54_11.mj2	3	39	18	0.8
4	2018_05_31_11_54_11.mj2	4	39	18	0.8
5	2018_05_31_11_54_11.mj2	5	39	18	0.8
6	2018_05_31_11_54_11.mj2	6	39	18	0.8
7	2018_05_31_11_54_11.mj2	7	39	18	0.8
8	2018_05_31_11_54_11.mj2	8	39	18	0.8
9	2018_05_31_11_54_11.mj2	9	39	18	0.8
10	2018_05_31_11_54_11.mj2	10	39	18	0.8
11	2018_05_31_11_54_11.mj2	11	39	18	0.8
12	2018_05_31_11_54_11.mj2	12	39	18	0.8
13	2018_05_31_11_54_11.mj2	13	39	18	0.8
14	2018_05_31_11_54_11.mj2	14	39	18	0.8
15	2018_05_31_11_54_11.mj2	15	39	18	0.8
16	2018_05_31_11_54_11.mj2	16	39	18	0.8
17	2018_05_31_11_54_11.mj2	17	39	18	0.8
18	2018_05_31_11_54_11.mj2	18	39	18	0.8
19	2018_05_31_11_54_11.mj2	19	39	18	0.8
20	2018_05_31_11_54_11.mj2	20	39	18	0.8
21	2018_05_31_11_54_11.mj2	21	39	18	0.8
22	2018_05_31_11_54_11.mj2	22	39	18	0.8
23	2018_05_31_11_54_11.mj2	23	39	18	0.8
24	2018_05_31_11_54_11.mj2	24	39	18	0.8
25	2018_05_31_11_54_11.mj2	25	39	18	0.8
26	2018_05_31_11_54_11.mj2	26	39	18	0.8
27	2018_05_31_11_54_11.mj2	27	39	18	0.8
28	2018_05_31_11_54_11.mj2	28	39	18	0.8
29	2018_05_31_11_54_11.mj2	29	39	18	0.8
30	2018_05_31_11_54_11.mj2	30	39	18	0.8
31	2018_05_31_11_54_11.mj2	31	39	18	0.8
32	2018_05_31_11_54_11.mj2	32	39	18	0.8
33	2018_05_31_11_54_11.mj2	33	39	18	0.8
34	2018_05_31_11_54_11.mj2	34	39	18	0.8
35	2018_05_31_11_54_11.mj2	35	39	18	0.8
36	2018_05_31_11_54_11.mj2	36	39	18	0.8
37	2018_05_31_11_54_11.mj2	37	39	18	0.8
38	2018_05_31_11_54_11.mj2	38	39	18	0.8
39	2018_05_31_11_54_11.mj2	39	39	18	0.8
40	2018_05_31_11_54_11.mj2	1	39	18	1
41	2018_05_31_11_54_11.mj2	2	39	18	1
42	2018_05_31_11_54_11.mj2	3	39	18	1
43	2018_05_31_11_54_11.mj2	4	39	18	1
44	2018_05_31_11_54_11.mj2	5	39	18	1
45	2018_05_31_11_54_11.mj2	6	39	18	1
46	2018_05_31_11_54_11.mj2	7	39	18	1
47	2018_05_31_11_54_11.mj2	8	39	18	1
48	2018_05_31_11_54_11.mj2	9	39	18	1
49	2018_05_31_11_54_11.mj2	10	39	18	1
50	2018_05_31_11_54_11.mj2	11	39	18	1
51	2018_05_31_11_54_11.mj2	12	39	18	1
52	2018_05_31_11_54_11.mj2	13	39	18	1
53	2018_05_31_11_54_11.mj2	14	39	18	1
54	2018_05_31_11_54_11.mj2	15	39	18	1
55	2018_05_31_11_54_11.mj2	16	39	18	1
56	2018_05_31_11_54_11.mj2	17	39	18	1
57	2018_05_31_11_54_11.mj2	18	39	18	1
58	2018_05_31_11_54_11.mj2	19	39	18	1
59	2018_05_31_11_54_11.mj2	20	39	18	1
60	2018_05_31_11_54_11.mj2	21	39	18	1
61	2018_05_31_11_54_11.mj2	22	39	18	1
62	2018_05_31_11_54_11.mj2	23	39	18	1
63	2018_05_31_11_54_11.mj2	24	39	18	1
64	2018_05_31_11_54_11.mj2	25	39	18	1
